SNName,RA(deg),DEC(deg),observed,yearchecked
SN2020rlj,345.2900374999999,23.487208333333335,False,2020
SN2020rgz,273.00441249999994,51.7246,False,2020
SN2020qic,3.773379166666666,43.34323333333334,False,2020
SN2020pst,18.300158333333332,2.283838888888889,False,2020
SN2020pjj,207.67214166666665,30.489047222222222,False,2020
SN2020nta,241.847275,13.892622222222222,False,2020
SN2020nxt,339.4009791666666,35.00213333333333,False,2020
SN2020nvb,187.2449583333333,3.5728027777777775,False,2020
SN2020nlb,186.35075416666666,18.203477777777778,False,2020
SN2020mr,132.51587916666665,70.29250833333333,False,2020
SN2020mjm,217.37221249999996,-0.021666666666666667,False,2020
SN2020llx,328.0583958333333,-55.5625,False,2020
SN2020lil,219.49862499999998,9.38855,False,2020
SN2020kyx,243.43974166666663,22.920655555555555,False,2020
SN2020kpx,234.54226666666665,4.780722222222222,False,2020
SN2020kyg,197.9149833333333,22.915533333333332,False,2020
SN2020jfo,185.46032916666664,4.481705555555556,False,2020
SN2020hvp,245.43914583333333,-2.2891666666666666,False,2020
SN2020hvf,170.3602083333333,3.0146805555555556,False,2020
SN2020jdo,273.9318666666667,58.215225000000004,False,2020
SN2020fxa,233.63764999999998,37.53384722222222,False,2020
SN2020ekk,251.18816666666663,22.513333333333332,False,2020
SN2020ees,201.81329999999997,32.03363611111111,False,2020
SN2020dul,224.30792499999998,49.674394444444445,False,2020
SN2020dhj,223.37655416666664,17.289158333333337,False,2020
SN2020cwd,91.74609583333331,-49.00694444444444,False,2020
SN2020cui,170.581875,-7.579722222222222,False,2020
SN2020bvc,218.48758749999996,40.24391666666667,False,2020
SN2020bpi,200.87093333333328,62.446188888888884,False,2020
SN2020bio,208.90702083333332,40.47750555555556,False,2020
SN2020big,75.31579583333333,-14.024444444444445,False,2020
SN2020aqe,175.87408749999997,-16.798055555555557,False,2020
SN2020akf,142.16507083333332,38.563075,False,2020
SN2020vg,177.22683333333333,-4.681666666666667,False,2020
SN2020mr,132.51666666666665,70.29250833333333,False,2020
SN2019yvq,186.84037499999997,64.79991666666666,False,2019
SN2019vrq,46.08925416666666,-16.024166666666666,False,2019
SN2019xtw,40.88999999999999,-38.625277777777775,False,2019
SN2019xdf,141.9658708333333,68.41178888888889,False,2019
SN2019wep,166.15412499999996,45.97763888888889,False,2019
SN2019wbg,180.67801249999997,1.9843444444444445,False,2019
SN2019vxm,299.6193291666666,62.13778888888889,False,2019
SN2019tua,329.5011666666666,24.26586111111111,False,2019
SN2019pjs,271.1681,21.6345,False,2019
SN2019oys,106.99690416666665,31.665366666666664,False,2019
SN2019ovr,112.20943333333332,35.54756666666667,False,2019
SN2019ofc,23.4038625,-38.599722222222226,False,2019
SN2019oet,343.9877625,-43.43860833333333,False,2019
SN2019odp,346.82954166666667,13.855947222222222,False,2019
SN2019odf,342.1861833333333,27.57182222222222,False,2019
SN2019nyk,3.8133541666666666,-8.189444444444444,False,2019
SN2019nvm,261.4110958333333,59.44674166666666,False,2019
SN2019njv,304.9883208333333,15.377419444444445,False,2019
