['SN2020rlj', '-host', 345.2900374999999, 23.487208333333335, '']
['SN2020rgz', '-host', 273.00441249999994, 51.7246, '']
['SN2020qic', '-host', 3.773379166666666, 43.34323333333334, '']
['SN2020pst', '-host', 18.300158333333332, 2.283838888888889, '']
['SN2020pjj', '-host', 207.67214166666665, 30.489047222222222, '']
['SN2020nta', '-host', 241.847275, 13.892622222222222, '']
['SN2020nxt', '-host', 339.4009791666666, 35.00213333333333, 'do']
['SN2020nvb', '-host', 187.2449583333333, 3.5728027777777775, '']
['SN2020nlb', '-host', 186.35075416666666, 18.203477777777778, '']
['SN2020mr', '-host', 132.51587916666665, 70.29250833333333, '']
['SN2020mjm', '-host', 217.37221249999996, -0.021666666666666667, '']
['SN2020llx', '-host', 328.0583958333333, -55.5625, '']
['SN2020lil', '-host', 219.49862499999998, 9.38855, '']
['SN2020kyx', '-host', 243.43974166666663, 22.920655555555555, '']
['SN2020kpx', '-host', 234.54226666666665, 4.780722222222222, '']
['SN2020kyg', '-host', 197.9149833333333, 22.915533333333332, '']
['SN2020jfo', '-host', 185.46032916666664, 4.481705555555556, '']
['SN2020hvp', '-host', 245.43914583333333, -2.2891666666666666, '']
['SN2020hvf', '-host', 170.3602083333333, 3.0146805555555556, '']
['SN2020jdo', '-host', 273.9318666666667, 58.215225000000004, '']
['SN2020fxa', '-host', 233.63764999999998, 37.53384722222222, '']
['SN2020ekk', '-host', 251.18816666666663, 22.513333333333332, '']
['SN2020ees', '-host', 201.81329999999997, 32.03363611111111, '']
['SN2020dul', '-host', 224.30792499999998, 49.674394444444445, '']
['SN2020dhj', '-host', 223.37655416666664, 17.289158333333337, '']
['SN2020cwd', '-host', 91.74609583333331, -49.00694444444444, '']
['SN2020cui', '-host', 170.581875, -7.579722222222222, '']
['SN2020bvc', '-host', 218.48758749999996, 40.24391666666667, '']
['SN2020bpi', '-host', 200.87093333333328, 62.446188888888884, '']
['SN2020bio', '-host', 208.90702083333332, 40.47750555555556, '']
['SN2020big', '-host', 75.31579583333333, -14.024444444444445, '']
['SN2020aqe', '-host', 175.87408749999997, -16.798055555555557, '']
['SN2020akf', '-host', 142.16507083333332, 38.563075, '']
['SN2020vg', '-host', 177.22683333333333, -4.681666666666667, '']
['SN2020mr', '-host', 132.51666666666665, 70.29250833333333, '']
['SN2019yvq', '-host', 186.84037499999997, 64.79991666666666, '']
['SN2019vrq', '-host', 46.08925416666666, -16.024166666666666, '']
