['SN2022adby', 'host', np.float64(101.95243499999992), np.float64(-18.36449272), '']
['SN2022aedm', 'host', np.float64(27.97482599999938), np.float64(3.10952129), '']
['SN2022an', 'host', np.float64(343.2649949999995), np.float64(-41.365989), '']
['SN2022crr', 'host', np.float64(228.0707309999995), np.float64(-21.38937019), '']
['SN2022crv', 'host', np.float64(69.1193699999995), np.float64(-25.7031), '']
['SN2022cvz', 'host', np.float64(127.31409449999971), np.float64(5.861518358), '']
['SN2022dmf', 'host', np.float64(296.1659069999997), np.float64(-39.10368), '']
['SN2022dml', 'host', np.float64(65.56999499999945), np.float64(14.41795), '']
['SN2022eat', 'host', np.float64(358.18624499999964), np.float64(19.827269), '']
['SN2022eji', 'host', np.float64(39.07624499999968), np.float64(34.004361), '']
['SN2022epu', 'host', np.float64(190.37792999999934), np.float64(31.223633), '']
['SN2022eqb', 'host', np.float64(154.12002449999957), np.float64(-4.906033374), '']
['SN2022erq', 'host', np.float64(215.33500499999886), np.float64(44.086569), '']
['SN2022erw', 'host', np.float64(281.1112499999994), np.float64(-2.1498), '']
['SN2022esa', 'host', np.float64(202.34999999999968), np.float64(-9.70285), '']
['SN2022eux', 'host', np.float64(253.20187499999986), np.float64(-15.676181), '']
['SN2022ewj', 'host', np.float64(264.6634889999997), np.float64(13.75473097), '']
['SN2022eyu', 'host', np.float64(85.58476649999973), np.float64(11.25347539), '']
['SN2022fae', 'host', np.float64(132.9791789999997), np.float64(-26.5844547), '']
['SN2022ffg', 'host', np.float64(141.76436999999976), np.float64(18.127319), '']
['SN2022ffv', 'host', np.float64(91.85721824999986), np.float64(-35.28933045), '']
['SN2022frl', 'host', np.float64(215.82124499999946), np.float64(-7.447789), '']
['SN2022frq', 'host', np.float64(149.80499999999947), np.float64(-13.416481), '']
['SN2022fuc', 'host', np.float64(309.6393749999997), np.float64(63.518461), '']
['SN2022fuc', 'host', np.float64(309.6393749999997), np.float64(63.518461), '']
['SN2022hgk', 'host', np.float64(308.9800049999996), np.float64(44.233681), '']
['SN2022hnt', 'host', np.float64(93.7346279999994), np.float64(55.1639571), '']
['SN2022hql', 'host', np.float64(225.38819849999965), np.float64(12.07496255), '']
['SN2022hrs', 'host', np.float64(343.3959554999995), np.float64(11.5766311), '']
['SN2022hsu', 'host', np.float64(313.6075049999993), np.float64(46.311119), '']
['SN2022ibv', 'host', np.float64(274.00999499999966), np.float64(-29.374911), '']
['SN2022idx', 'host', np.float64(19.512494999999742), np.float64(-6.385231), '']
['SN2022ihx', 'host', np.float64(17.401136999999377), np.float64(61.68763455), '']
['SN2022ihz', 'host', np.float64(25.51375499999963), np.float64(-3.607069), '']
['SN2022ilv', 'host', np.float64(175.2662549999995), np.float64(-11.599439), '']
['SN2022inn', 'host', np.float64(35.44187999999976), np.float64(63.0235), '']
['SN2022irp', 'host', np.float64(212.96689499999962), np.float64(29.9229834), '']
['SN2022jli', 'host', np.float64(130.35562499999997), np.float64(-8.386711), '']
['SN2022jo', 'host', np.float64(47.35375499999946), np.float64(28.057139), '']
['SN2022joj', 'host', np.float64(66.25358549999957), np.float64(3.006757679), '']
['SN2022jox', 'host', np.float64(81.53249999999942), np.float64(-28.51585), '']
['SN2022jzc', 'host', np.float64(200.54186999999968), np.float64(50.526889), '']
['SN2022lxq', 'host', np.float64(145.82999999999967), np.float64(57.464769), '']
['SN2022mji', 'host', np.float64(25.87937999999951), np.float64(31.850989), '']
['SN2022mma', 'host', np.float64(56.34311999999937), np.float64(15.986581), '']
['SN2022mxv', 'host', np.float64(326.57062499999876), np.float64(20.152481), '']
['SN2022ncc', 'host', np.float64(291.20312999999965), np.float64(20.641211), '']
['SN2022ncc', 'host', np.float64(291.20312999999965), np.float64(20.641211), '']
['SN2022ngb', 'host', np.float64(303.2174999999989), np.float64(36.618839), '']
['SN2022nyo', 'host', np.float64(256.03937999999937), np.float64(-40.394381), '']
['SN2022oqm', 'host', np.float64(169.2631889999994), np.float64(52.53476066), '']
['SN2022ovb', 'host', np.float64(354.34687499999933), np.float64(36.004961), '']
['SN2022pda', 'host', np.float64(285.86845499999947), np.float64(-18.82790576), '']
['SN2022pff', 'host', np.float64(179.8760669999997), np.float64(32.8415771), '']
['SN2022pgf', 'host', np.float64(178.86874499999973), np.float64(59.820081), '']
['SN2022ppj', 'host', np.float64(185.23563), np.float64(19.996489), '']
['SN2022prr', 'host', np.float64(321.36858449999943), np.float64(40.7510186), '']
['SN2022pul', 'host', np.float64(280.5528944999994), np.float64(8.448701233), '']
['SN2022pul', 'host', np.float64(280.5528944999994), np.float64(8.448701233), '']
['SN2022qh', 'host', np.float64(312.50312999999943), np.float64(-43.2686), '']
['SN2022qhy', 'host', np.float64(274.3075049999997), np.float64(-23.666619), '']
['SN2022qzr', 'host', np.float64(37.187533425), np.float64(-5.021135019), '']
['SN2022ryd', 'host', np.float64(174.8456249999995), np.float64(2.599931), '']
['SN2022sio', 'host', np.float64(327.7147094999996), np.float64(56.5588268), '']
['SN2022sje', 'host', np.float64(172.8325049999995), np.float64(66.624489), '']
['SN2022ssk', 'host', np.float64(200.53395704999997), np.float64(-5.848358133), '']
['SN2022sat', 'host', np.float64(97.79999999999993), np.float64(-28.591381), '']
['SN2022udd', 'host', np.float64(290.5263647999998), np.float64(-18.31195092), '']
['SN2022vpm', 'host', np.float64(309.55499999999955), np.float64(26.76785), '']
['SN2022vpu', 'host', np.float64(299.3467754999999), np.float64(-18.25068274), '']
['SN2022vqz', 'host', np.float64(191.6113638), np.float64(29.53671023), '']
['SN2022vqz', 'host', np.float64(191.6113638), np.float64(29.53671023), '']
['SN2022wol', 'host', np.float64(57.986428199999956), np.float64(36.06434239), '']
['SN2022wsp', 'host', np.float64(135.220373999999), np.float64(15.97849932), '']
['SN2022xgc', 'host', np.float64(182.6131319999998), np.float64(7.316653), '']
['SN2022xjk', 'host', np.float64(152.0317330499999), np.float64(-11.34983362), '']
['SN2022xkq', 'host', np.float64(65.23187999999982), np.float64(-11.88225), '']
['SN2022xlp', 'host', np.float64(153.0985649999995), np.float64(44.100975), '']
['SN2022xmo', 'host', np.float64(308.7906074999997), np.float64(28.8046481), '']
['SN2022xxf', 'host', np.float64(67.87126949999943), np.float64(9.282603917), '']
['SN2022xzm', 'host', np.float64(63.61286636999999), np.float64(22.52468135), '']
['SN2022ydn', 'host', np.float64(240.29691434999975), np.float64(-2.61672), '']
['SN2022yjl', 'host', np.float64(337.3944314999991), np.float64(10.99531844), '']
['SN2022ywf', 'host', np.float64(308.26226369999995), np.float64(0.956578757), '']
['SN2022yyz', 'host', np.float64(341.3470619999989), np.float64(28.99724615), '']
['SN2022zut', 'host', np.float64(108.67624349999956), np.float64(11.46969875), '']
['SN2023aase', 'host', np.float64(76.37936999999964), np.float64(-3.322361), '']
['SN2023acco', 'host', np.float64(145.85688), np.float64(9.42955), '']
['SN2023acft', 'host', np.float64(101.57312999999972), np.float64(-34.401111), '']
['SN2023acha', 'host', np.float64(168.2382164999994), np.float64(52.76706369), '']
['SN2023aew', 'host', np.float64(18.210629999999238), np.float64(66.206319), '']
['SN2023aub', 'host', np.float64(114.44561999999947), np.float64(-31.630439), '']
['SN2023axu', 'host', np.float64(82.20749999999987), np.float64(-18.231519), '']
['SN2023bee', 'host', np.float64(210.72625499999978), np.float64(-3.325569), '']
['SN2023bmd', 'host', np.float64(173.0516144999994), np.float64(46.1064566), '']
['SN2023bvh', 'host', np.float64(173.54249999999985), np.float64(27.351289), '']
['SN2023bvj', 'host', np.float64(56.00249999999945), np.float64(33.553039), '']
['SN2023cj', 'host', np.float64(294.5343749999996), np.float64(-5.451731), '']
['SN2023cpt', 'host', np.float64(215.8340984999995), np.float64(-13.08938292), '']
['SN2023cpt', 'host', np.float64(215.8340984999995), np.float64(-13.08938292), '']
['SN2023cqc', 'host', np.float64(134.09817749999942), np.float64(69.9184329), '']
['SN2023cr', 'host', np.float64(113.31735299999983), np.float64(-27.8712392), '']
['SN2023dbc', 'host', np.float64(358.7018699999994), np.float64(55.674719), '']
['SN2023dtc', 'host', np.float64(124.84687499999984), np.float64(-22.962519), '']
['SN2023eiw', 'host', np.float64(287.8874999999995), np.float64(46.521011), '']
['SN2023emq', 'host', np.float64(173.87707499999945), np.float64(-23.7309573), '']
['SN2023enr', 'host', np.float64(163.74689999999978), np.float64(-10.39300769), '']
['SN2023esp', 'host', np.float64(85.86581249999986), np.float64(15.5984222), '']
['SN2023fax', 'host', np.float64(54.19639949999961), np.float64(30.02914129), '']
['SN2023foa', 'host', np.float64(239.95626299999938), np.float64(24.18627071), '']
['SN2023ftg', 'host', np.float64(120.71771699999913), np.float64(11.71941111), '']
['SN2023fyq', 'host', np.float64(276.6171464999996), np.float64(12.66357582), '']
['SN2023gfo', 'host', np.float64(81.22937999999947), np.float64(-7.836611), '']
['SN2023gft', 'host', np.float64(142.58292299999934), np.float64(-3.798227253), '']
['SN2023gjg', 'host', np.float64(252.37322549999962), np.float64(37.5035246), '']
