SNname,targetids,SNra,SNdec,template status
SN2018kzr,-host,08:28:53.460,+01:06:38.71,
SN2018kpo,-host,03:40:43.054,-6:25:24,
SN2018jov,-host,08:00:07.140,+58:42:34.95,
SN2018ivc,-host,02:42:41.276, -00:00:31.92,
SN2018aad,-host,03:58:01.498,-65:30:25,
SN2018jky,-host,03:26:02.117,-17:33:47,
SN2018jag,-host,01:03:48.310,+10:35:32.50,
SN2018ivc,-host,02:42:41.290,-0:00:32,
SN2018isq,-host,03:16:50.600,+80:47:04.50,
SN2018ilu,-host,23:33:20.980,+04:48:34.66,
SN2018imf,-host,12:42:41.390,+13:15:55.00,
SN2018ibb,-host,04:38:56.960,-20:39:44,
SN2018hxf,-host,04:22:17.963 ,-05:28:05.81,
SN2018jov,-host,08:00:07.140,+58:42:34.95,
SN2018jky,-host,03:26:02.117,-17:33:47,
SN2018hmx,-host,08:33:39.340,+55:35:53.10,
SN2018hpu,-host,03:18:21.225,-41:36:35,
SN2018htr,-host,0:14:08,-23:10:09.71,
SN2018hmx,-host,08:33:39.340,+55:35:53.10,
SN2018hso,-host,11:33:52, +53:07:07.42,
SN2018bgv,-host,11:02:30.290,+55:35:55.79,
SN2018ilu,-host,23:33:20.980,+04:48:34.66,
SN2018hpu,-host,03:18:21.225,-41:36:35,
SN2018hkx,-host,04:00:53.810,-66:40:31,
SN2018gwo,-host,12:08:38.910,+68:46:44.99,
SN2018gro,-host,22:11:49.200,+38:42:01.50,
SN2018get,-host,07:34:09.070,+04:32:57.91,
SN2018bbl,-host,22:56:54.431 ,-37:20:48.57,
SN2018feb,-host,17:10:11.160,+21:38:56.53,
SN2018feq,-host,01:15:18.739,-44:55:11,
SN2018evk,-host,23:15:44.960,+06:54:39.70,
SN2018evt,-host,13:46:39.210,-9:38:36,do 
SN2018hfm,-host,09:36:08.736 ,+06:15:27.08,
SN2018dfy,-host,21:43:32.910,+43:32:58.20,
SN2018dfg,-host,14:06:34.700,-5:27:03,
