SN2021xju,ESO186-G37,20:22:31.064,-53:16:43.89,
SN2021bmx,ESO317-G6,10:14:50.246,-38:11:29.90,
SN2020yzo,ESO34-G12,06:43:32.096,-72:35:25.53,
SN2019esa,ESO35-G18,07:55:00.889,-76:24:43.11,
SN2020acma,ESO437-G19,10:37:57.860,-28:54:30.78,
SN2021xbg,FGC0286,02:23:56.453,-06:42:03.75,
SN2020xyw,IC2200A,07:28:07.980,-62:21:28.95,
SN2021hiz,IC3322A,12:25:41.670,+07:13:42.20,
SN2021foa,IC863,13:17:12.354,-17:15:25.77,
SN2021ybc,KUG0226-049,02:29:19.030,-04:40:54.36,
SN2020adow,KUG0830+278,08:33:42.266,+27:42:43.83,
SN2021zet,LEDA134344,21:52:13.342,-23:22:37.16,
SN2021mqh,MCG-01-30-21,11:39:50.471,-07:36:26.60,
SN2020aatc,MCG-02-08-07,02:48:16.430,-10:15:07.52,
SN2021yyg,MCG-02-14-10,05:16:21.033,-13:28:39.97,
SN2020uzq,MCG-02-60-01,23:34:00.199,-11:46:59.21,
SN2021K,MCG+06-30-84,13:47:10.693,+34:05:21.34,
SN2020zgl,MRK1131,23:28:01.143,-02:09:53.61,
SN2021yja,NGC1325,03:24:21.174,-21:33:56.19,
SN2021pit,NGC1448,03:44:30.206,-44:37:57.25,
SN2021vaz,NGC1961,05:42:01.716,+69:22:36.73,
SN2021aai,NGC2268,07:14:26.861,+84:22:51.45,
SN2020aboh,NGC2799,09:17:31.764,+41:59:34.01,
SN2021mwj,NGC2935,09:36:41.790,-21:08:47.10,
SN2021jtt,NGC2955,09:41:16.452,+35:53:02.53,
SN2021do,NGC3147,10:16:56.667,+73:23:51.29,
SN2021hpr,NGC3147,10:16:38.619,+73:24:01.79,
SN2021gmj,NGC3310,10:38:47.275,+53:30:30.36,
SN2021jag,NGC4108,12:06:44.981,+67:09:53.83,
SN2019edo,NGC4162,12:11:51.566,+24:08:11.67,
SN2021gno,NGC4165,12:12:10.290,+13:14:57.05,
SN2021smj,NGC4411b,12:26:46.555,+08:52:57.61,
SN2021J,NGC4414,12:26:27.015,+31:13:20.57,
SN2021qvv,NGC4442,12:28:02.917,+09:48:10.26,
SN2021bug,NGC4533,12:34:22.753,+02:19:02.11,
SN2021skf,NGC4777,12:53:57.350,-08:46:14.77,
SN2021oat,NGC4895A,13:00:08.260,+28:10:13.11,
SN2021lxb,NGC4927,13:01:58.649,+28:00:30.85,
SN2021fxy,NGC5018,13:13:01.571,-19:30:45.18,
SN2020uxz,NGC514,01:24:06.890,+12:55:17.26,
SN2021ads,NGC5215,13:35:07.549,-33:28:59.47,
SN2019ein,NGC5353,13:53:29.134,+40:16:31.40,
SN2021pfs,NGC5427,14:03:23.584,-06:01:53.90,
SN2020tlf,NGC5731,14:40:10.034,+42:46:39.64,
SN2021mnj,NGC5754,14:45:20.589,+38:44:18.57,
SN2021ass,NGC684,01:50:10.128,+27:38:42.79,
SN2021sjt,NGC6951,20:37:19.202,+66:06:23.10,
SN2021qvr,NGC7678,23:28:26.651,+22:25:11.89,
SN2021rhu,NGC7814,00:03:15.429,+16:08:44.51,
SN2021mxx,UGC11380,18:56:51.275,+36:37:20.38,
SN2021ucg,UGC12188,22:47:37.657,+39:52:59.41,
SN2020xua,UGC12218,22:51:22.175,+32:21:04.93,
SN2020szr,UGC12395,23:09:33.094,+15:39:33.38,
SN2021cwc,UGC3502,06:39:46.831,+65:27:07.40,
SN2021ukt,UGC505,00:49:24.860,-01:45:58.82,
SN2020zoq,UGC5760,10:36:21.573,+13:43:07.36,
SN2021qyy,UGC6711,11:44:29.664,+69:43:45.44,
SN2020abjq,UGC678,01:06:14.630,+03:34:26.08,
SN2021bhd,UGC8737,13:48:14.697,+68:05:23.21,
SN2020pni,UGC9684,15:03:49.964,+42:06:50.52,
SN2021uds,WISEAJ00-63,00:10:43.936,-63:06:03.56,
