SN2021uqw,AGC311171,21:53:59.429,+06:41:51.04,
SN2021agbn,Anon,03:57:12.850 ,-25:24:12.17,
SN2018jov,Anon,08:00:07.140,+58:42:34.95,
SN2019enz,Anon,13:57:06.098,+27:59:38.71,
SN2020able,Anon,09:26:02.258,+24:31:17.83,
SN2020abtf,Anon,07:59:34.483,+15:18:00.02,
SN2020acat,Anon,11:50:41.209,-10:13:38.72,
SN2020acct,Anon,09:44:56.060,+31:05:45.77,
SN2020pvb,Anon,20:53:53.032,-25:28:26.09,
SN2020scq,Anon,02:43:52.809,-00:37:06.96,
SN2020tcw,Anon,15:28:17.096,+39:56:50.50,
SN2020wtq,Anon,01:13:08.093,+28:40:37.13,
SN2020yvu,Anon,23:00:59.870,+40:54:38.16,
SN2020zbf,Anon,01:58:01.671,-41:20:51.84,
SN2020znr,Anon,07:19:06.423,+23:53:07.32,
SN2021aadc,Anon,00:04:32.666,+19:45:41.18,
SN2021acya,Anon,04:02:13.760,-28:23:29.72,
SN2021afkk,Anon,02:29:59.968,+28:38:03.07,
SN2021afuq,Anon,10:27:52.150,-43:54:07.17,
SN2021afur,Anon,10:22:12.998,+17:51:40.41,
SN2021arg,Anon,04:31:18.787,-10:23:46.85,
SN2021dnm,Anon,12:37:24.215,+23:05:36.75,
SN2021ek,Anon,03:23:49.900,-10:02:41.24,
SN2021fmu,Anon,10:31:56.235,-15:57:19.62,
SN2021ghc,Anon,09:56:32.994,+00:45:08.24,
SN2021gma,Anon,16:05:27.778,+57:57:28.40,
SN2021hen,Anon,13:07:43.886,+24:48:37.91,
SN2021iyt,Anon,10:18:44.414,+00:03:19.37,
SN2021jpk,Anon,14:39:00.025,+12:40:10.02,
SN2021kyv,Anon,14:27:55.288,+33:00:07.48,
SN2021lwz,Anon,09:44:47.386,+34:42:44.21,
SN2021mim,Anon,15:40:21.365,+07:16:53.50,done?
SN2021pb,Anon,09:44:46.816,+51:41:14.62,
SN2021uhk,Anon,23:26:13.598,+01:08:43.92,
SN2021uyc,Anon,21:56:45.345,+27:54:18.11,
SN2021wvd,Anon,15:10:34.963,+13:27:30.43,
SN2021yky,Anon,01:07:50.224 ,+27:18:53.28,
SN2021dov,CGCG005-038,08:56:18.711,-00:26:31.70,
SN2021cgu,CGCG038-099,11:03:03.709,+05:05:53.41,
SN2020zpi,CGCG388-092,02:40:20.453,-01:26:48.70,
SN2021uoy,CGCG453-026,22:55:37.453,+19:10:25.79,
